12839;PESQUISAS ORAIS PARA OBSERVAR IMPACTOS SOCIO-ECONOMICOS EM BUSCA DO RESGATE HIST”RICO DE MURICI A PARTIR DA ENCHENTE DE 2010: CONCIENTIZANDO A POLULA«√O DO MUNICIPIO A CERCA DO CASO;BRUNO CARVALHO DA SILVA;IFAL;CI NCIAS HUMANAS;BANNER
12835;SISTEMA DE MONITORAMENTO DE TEMPERATURA E UMIDADE;ILTON LUIZ BARBACENA, LARYSSA MARIA DE SOUSA DUARTE, ROBERO  EUGÍNIO RODRIGUES;IFPB;ENGENHARIAS;BANNER
12832;RISCO DE ENCHENTE E INUNDA«√O NA REGI√O DO CRISTO REDENTOR E CRUZ DAS ARMAS ¿S MARGENS DO RIO JAGUARIBE EM JO√O PESSOA, PB;ALEXANDRE FONSECA DíANDREA, HÈLDER CAVALCANTE NASCIMENTO, JANAINE SOUZA DOS SANTOS, ROSILENE GOMES NASCIMENTO;IFPB;CI NCIAS SOCIAIS APLICADAS;ORAL
12831;O ENSINO E A PR¡TICA DA BIOLOGIA NA FORMA«√O DOCENTE: UMA DISCUSS√O APOIADA NA VIV NCIA DO EST¡GIO NO MUSEU OCEANOGR¡FICO UNIVALI;ANDERSON LOPES LOPES KLIPEL;IFRO;CI NCIAS HUMANAS;BANNER
12828;ALFACE HIDROP‘NICA CULTIVADA COM SOLU«’ES NUTRITIVAS ALTERNATIVAS AO USO DE FERTILIZANTES MINERAIS A BASE DE NITRATOS;LEANDRO CECÌLIO MATTE, LUANA MARINA PEREIRA GOIS, RITIELLI  GUIMAR„ES FERRARI;IFRO;CI NCIAS AGR¡RIAS;BANNER
12826;ENDEMIAS, UMA QUEST√O SOCIAL: EDUCA«√O PARA PREVEN«√O DA MAL¡RIA, DENGUE, AMEBÕASE E GIARDÕASE NO MUNICÕPIO DO CANT¡-RORAIMA;ELAYNE SILVA MELO;IFRR;CI NCIAS DA SA⁄DE;BANNER
12824;ACESSIBILIDADE È PARA TODOS.;JIOVANE ANDERSON DA SILVA RIBEIRO;IFRO;CI NCIAS SOCIAIS APLICADAS;BANNER
12805;DIAGNOSTICO DAS CONDI«’ES DE USO E OCUPA«√O DAS MARGENS DO RIO ACARA⁄, LOCALIZADO NO MUNICÕPIO DE CRUZ-CE, COM VISTA ¿ ELABORA«√O DE UM PROGRAMA DE EDUCA«√O AMBIENTAL;ADRIANA SARA DA SILVA, ELIZABETH DE ARA˙JO CAVALCANTE, ERL‚NDIA M·RCIA VASCONCELOS, JORGENA DE ALMEIDA JORGE BENEVIDES, VERA L˙CIA SOUSA;IFCE;CI NCIAS BIOL”GICAS;BANNER
12801;LUDICIDADE NO ENSINO DE QUÕMICA PARA SURDOS: UMA APRENDIZAGEM MEDIADA PELA VIS√O;ANTONIO RICARDO ARAUJO GONÁALVES, EVERSON DOS SANTOS TEIXEIRA, HENRIQUE CARDOSO SILVA, SINARA  SILVA NEVES;IFBA;CI NCIAS HUMANAS;BANNER
12788;AN¡LISE DO PERFIL DOS ESTUDANTES DO CURSO DE ENGENHARIA CIVIL DO IFPB ñ CAMPUS CAJAZEIRAS: EXPECTATIVA DE ATUA«√O PROFISSIONAL;CÌCERO MARCIANO DA SILVA SANTOS, FRANCISCO FELIPE PEDROSA BEZERRA, PAULENA ARAUJO ARAUJO SANTANA, ROBSON ARRUDA DOS SANTOS;IFPB;MULTIDISCIPLINAR;BANNER
12786;DISPOSITIVO DE ACIONAMENTO REMOTO PARA SISTEMA DE BOMBEAMENTO DE ¡GUA RESIDENCIAL;ERIC SANTANA FERREIRA, EVADIO PERREIRA FILHO, NELSON LUIZ  DA SILVA OLIVEIRA, THIAGO  DA SILVA RODRIGUES;IFPB,  OUTROS;ENGENHARIAS;BANNER
12782;ROBOIFBA: AMBIENTE DE DIFUS√O DA ROB”TICA EDUCACIONAL;ANDREA C·SSIA PEIXOTO BITENCOURT, HUGO THOM·S D'ALMEIDA E MENDES, JUSTINO  MEDEIROS DE ARA˙JO, LORENNA SANTOS VILAS BOAS;IFBA;MULTIDISCIPLINAR;BANNER
12780;A AQUISI«√O DE LÕNGUAS ADICIONAIS ATRAV…S DE RECURSOS MULTIMODAIS: O AUDIOVISUAL COMO MEDIADOR DA APRENDIZAGEM;ANA CAROLINE PEREIRA SILVA, RONNY DIOGENES MENEZES;IFPB,  IFPE;LINGUÕSTICA, LETRAS E ARTES;BANNER
12778;DIFERENTES POTENCIAIS OSM”TICOS SOBRE  O DESENVOLVIMENTO DO FEIJ√O ARIGOZINHO;FABIO BATISTA LIMA;IFRO;CI NCIAS AGR¡RIAS;BANNER
12775;TECENDO A VALORIZA«√O DO PATRIM‘NIO CULTURAL EM MACEI”;GABRIELA BATISTA SILVA, MARÌLIA ALVIM SILVA;IFAL;MULTIDISCIPLINAR;BANNER
12774;PROGRAMA PR”-EQUIDADE DE G NERO E RA«A: POSSIBILIDADES E DESAFIOS NO INSTITUTO FEDERAL DE ALAGOAS;ARYANE VITORIA PODEROSO DANTAS, BARBARA TEREZA BRAND√O GUERREIRO BARBOSA, DHYEGO SILVA MEDEIROS, LAYANE VICTORIA ANANIAS DA SILVA, MARIANE CRISTINE SILVA BASTOS;IFAL;CI NCIAS HUMANAS;ORAL
12768;DESENVOLVIMENTO DE ROB‘ SEGUIDOR DE LINHA E AN¡LISE DE FUNCIONAMENTO COM DIFERENTES TIPOS DE SENSORES;LAIANE ROCHA MAC·RIO, LUCAS NUNES PEREIRA, LUCAS DE JESUS OLIVEIRA, VICTOR HENRIQUE MOTA MACEDO GUIRRA, WILLIAM GUTERRES OLIVEIRA;IFBA;ENGENHARIAS;BANNER
12763;C·LCULO DO CORTE SUSTENT·VEL DE ·RVORES USANDO UM PROGRAMA EM C++: UMA APLICAÁ„O DA ¡LGEBRA LINEAR;BRUNA DO CARMO PEREIRA, HENRIQUE COSTA FAGUNDES, POLYANE ALVES SANTOS, RAPHAELA NUNES PEREIRA, SEZIBIO KAUAN DE LIMA NUNES;IFBA;ENGENHARIAS;ORAL
12756;COLABORE: SISTEMA WEB DE RECRUTAMENTO DE COLABORADORES;JOABE PINHEIRO DA SILVA, LEANDRO LOPES RAMOS, PABLO FREIRE MATOS;IFBA;CI NCIAS EXATAS E DA TERRA;BANNER
12755;UMA CONTRIBUI«√O AO ESTUDO DE MOTORES EL…TRICOS DE KEPPE E BEDINI;GESSE VIEIRA BARROS, PAULO HENRIQUE FONSECA, SAMUEL RIBEIRO ABREU;IFPB;ENGENHARIAS;BANNER
12753;AGRICULTURA ORG¬NICA COM ENFOQUE NA PRODU«√O SUSTENT¡VEL DE HORTALI«AS: ESTUDO DE CASO POVOADO TRANSARAGUAIA;ERICA RIBEIRO SIMONETTI, GASPAR FERREIRA DA SILVA, PALOMA CASTRO ABREU, …RICA  CHAVES;IFTO;CI NCIAS AGR¡RIAS;BANNER
12747;DESENVOLVIMENTO DE LITHOTHAMNIUM SP PARA O SEMI·RIDO IRRIGADO: GRANULOMETRIA, DOSES E VIA DE APLICAÁ„O NA CULTURA DO TOMATE;B·RBARA DE C·SSIA DA ROCHA GORGONIO;IF SERT√O-PE;CI NCIAS AGR¡RIAS;ORAL
12745;VULNERABILIDADE SOCIOAMBIENTAL: UMA AN¡LISE SOCIOPOLÕTICA E AMBIENTAL DO BAIRRO JO√O CABRAL, JUAZEIRO DO NORTE/CE;BRENDA TAMIRES CONCEIÁ„O E S·, CIEUSA MARIA CALOU E PEREIRA, ONESIA VIEIRA XAVIER;IFCE;ENGENHARIAS;BANNER
12744;DIAGN”STICO DAS CONDI«’ES OCUPACIONAIS DA FEIRA LIVRE DA CIDADE DE CEAR¡-MIRIM/RN;CYBELLE  TEIXEIRA MARQUES;IFRN;CI NCIAS BIOL”GICAS;BANNER
12743;UTILIZA«√O DE RECURSO TECNOL”GICO COMO SUBSÕDIO NO ENSINO DE ANATOMIA VEGETAL PARA O ENSINO M…DIO T…CNICO INTEGRADO DO IFAM;KÈSEDE DA SILVA PEREIRA, LILIAN LOREN DOS ANJOS DO CANTO, MARIA MATILDE DA SILVA CARVALHO, POLIANA ROVERSI GENOVESE MARCOMINI;IFAM;CI NCIAS HUMANAS;BANNER
12741;PLATAFORMA PARA AUTOMA«√O RESIDECIAL;ADEMAR  VIRGOLINO DA SILVA NETTO, LEANDRO  FERREIRA DA SILVA;IFPE;ENGENHARIAS;BANNER
12736;PRODU«AO DE DERIVADO DO IBUPROFENO ATRAV…S DE REA«AO DE ESTERIFICA«AO DE FISHER E SUA A«AO BIOLOGICA FRENTE ¡ PRAGA ACANTHOSCELIDES OBTECTU, O GORGULHO DO FEIJ√O COMUM PHASEOLUS VULGARIS;EDSON DOS SANTOS ALVES, FRANCISCO FELIPE MAIA DA SILVA;IFRN;CI NCIAS EXATAS E DA TERRA;BANNER
12735;ESTIMA«√O DE ESTADOS EM REDES DE DISTRIBUI«√O DE ENERGIA;JAQUELINE  AMANDA CARDOSO BITTENCOURT MORAES;IFMA;ENGENHARIAS;BANNER
12733;T…CNICA DE TRANSPOSI«√O DID¡TICA PARA O ESTUDO DA FISIOLOGIA DOS ANFÕBIOS E R…PTEIS;MARIA HELENA ALVES;IFPB;CI NCIAS BIOL”GICAS;BANNER
12727;AN¡LISE COMPARATIVA DAS OPINI’ES DE INDIVÕDUOS COM DIFERENTES NÕVEIS DE ESCOLARIDADE A RESPEITO DA UTILIZA«√O DE ANIMAIS COMO COBAIAS EM EXPERIMENTOS LABORATORIAIS;AMAURÌCIO LOPES ROCHA BRAND„O, FRANCISCA WILIANA DE LIMA AMORIM;IFCE;MULTIDISCIPLINAR;BANNER
12721;CARACTERIZA«√O FÕSICO-QUÕMICA DE SUCO MISTO DE ACEROLA (MALPIGHIA EMARGINATA L.) COM VINAGREIRA (HIBISCUS SABDARIFFA L.);CECÌLIA  PEREIRA, DALVA  PEREIRA, ISABELA  CORDEIRO, MANOEL  MARQUES, RENATA  FREITAS;IFMA,  IFPI;CI NCIAS AGR¡RIAS;BANNER
12718;RIOS URBANOS: ELO AMBIENTAL ENTRE SALVADOR E A BAÕA DE TODOS OS SANTOS ñ BRASIL;CASSIO DE JESUS VIANA, JULIANA PEREIRA PETRONILIO DOS SANTOS, PLINIO MARTINS FALC„O;IFBA;CI NCIAS HUMANAS;BANNER
12714;LEVANTAMENTO DO MODELO DA TENS√O DE  FORNECIMENTO E DO FATOR DE POT NCIA UTILIZANDO  ESTIMADORES RECURSIVOS;EDERSON  SANTOS;IFPA;ENGENHARIAS;ORAL
12710;DESEMPENHO AGRON‘MICO DE GEN”TIPOS DE FEIJ√O-CAUPI EM VIT”RIA DA CONQUISTA, BAHIA;EVERARDES  P˙BLIO J˙NIOR, OTONIEL MAGALH„ES MORAIS, SAMILE NAIANE GONÁALVES DE JESUS, UBIRATAN OLIVEIRA SOUZA, UESLEI BRUNO CARDOSO MEDEIROS;OUTROS;CI NCIAS AGR¡RIAS;BANNER
12705;EFIC¡CIA DA IVERMECTINA NO CONTROLE DE PARASITAS GASTROINTESTINAIS EM OVINOS NO SEMI¡RIDO PARAIBANO;AMAÌRA CASIMIRO DO NASCIMENTO, AMÈLIA LIZZIANE LEITE DUARTE, JOSÈ GABRIEL GONÁALVES LINS, SERGINARA DAVID RODRIGUES, THALLES LUAN ABRANTES FERREIRA;IFPB;CI NCIAS AGR¡RIAS;BANNER
12700;CONTRIBUI«’ES E LIMITA«’ES DA INICIA«√O CIENTÕFICA PARA A FORMA«√O PROFISSIONAL E CONSTRU«√O DO CONHECIMENTO DE QUÕMICA DE ALUNOS DO ENSINO M…DIO INTEGRADO ñ ESTUDO DE CASO DO IFCE - CAMPUS UMIRIM;ANA PAULA AQUINO BENIGNO, ANTÙNIA HARESSA  OLIVEIRA DOS SANTOS, JOSÈ DAVI FERREIRA DA SILVA NOGUEIRA, PAULO CESAR COSTA DE OLIVEIRA, REBECA DE CASTRO SALES;IFCE,  OUTROS;CI NCIAS EXATAS E DA TERRA;BANNER
12697;AN¡LISE DO GERENCIAMENTO ESTRAT…GICO SOCIOAMBIENTAL DO RESTAURANTE UNIVERSIT¡RIO DA UNIVERSIDADE FEDERAL DE SERGIPE;FERNANDA  STINGELIN, GLAUBER  BARROS, JOCIMAR  RODRIGUES JUNIOR, LÌVIA  VIEIRA;OUTROS,  UFS;ENGENHARIAS;BANNER
12690;DESENVOLVIMENTO DE PROTÛTIPO DE ILUMINAÁ„O POR LED RGB UTILIZANDO MODULAÁ„O PWM;FRANCISCO JOSÈ ALVES AQUINO, F·BIO BARROSO BRITO, POLYCARPO SOUZA NETO, WELLINGTON DANTAS ALMEIDA;IFCE;ENGENHARIAS;BANNER
12687;PRODU«√O DE BIOMASSA DE BAMBU IRRIGADO E EFICI NCIA DO USO DA ¡GUA EM TR S ESPA«AMENTOS DE PLANTIO;DANIEL  SANTANA COLARES;IFTO;CI NCIAS AGR¡RIAS;BANNER
12686;A PERSPECTIVA DOS ÕNDIOS DA ALDEIA KANIND… DE ARATUBA SOBRE DOCES TRADICIONAIS INDÕGENAS;ANNA …RIKA FERREIRA LIMA, ANTONIO BEZERRA LEITE JUNIOR, ANTONIO BRENO OLIVEIRA SILVA;IFCE;MULTIDISCIPLINAR;BANNER
12684;METODOLOGIAS PARA O ENSINO DE CI NCIAS: DESAFIOS DE DOCENTES EM ESCOLAS P⁄BLICAS DE UM MUNICÕPIO DE ALAGOAS ñ BRASIL;MARIA LUSIA DE MORAIS BELO BEZERRA;IFAL;CI NCIAS HUMANAS;BANNER
12683;A MANIPULA«√O DE MAT…RIAS-PRIMAS NATURAIS: AS PROPRIEDADES DA QUÕMICA TRANSG NICA E O CONSEQUENTE DESFECHO MERCADOL”GICO;JEFERSON ARA˙JO ALMEIDA, JHONATAN SANTOS PINTO, MARCIA SEP˙LVIDA DO VALE;IFTO;CI NCIAS EXATAS E DA TERRA;BANNER
12682;CRIA«√O DE UM BANCO DE DADOS PARA APOIAR O MAPEAMENTO GEOT…CNICO DA REGI√O DO CARIRI ATRAV…S DE ENSAIOS PARA APLICA«√O EM DIMENSIONAMENTO DE PAVIMENTOS;JULIETTE  MACENA DE SOUZA;IFCE;ENGENHARIAS;ORAL
